avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene
1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
207.66666666666663,"[0.003930465835369745, 0.031627859059398016, 0.04720160974047495, 0.07057328713548039, -0.05742177805086859, -0.08379694021042353, 0.010566716095855721, 0.008615265283227482, 0.04095112884589376]",7633.333333333333,"[0.06585368419884174, -0.5303653016251773, -0.2978995484039435, -0.5114503560104313, 0.8567443734726778, -0.5048161852797532, -0.687920936015697, -0.6971933110151565, 0.3162280361912746]",3363.333333333333,"[-0.13509849913848995, -0.5210101760397827, 0.2533871561217706, -0.5190880233078689, 0.21172829238285637, -0.4552863928165644, -0.6941908262434912, -0.2436772981317906, 0.40048371399957733]"
792.3333333333331,"[0.7053920408798595, -0.47391515988229893, -0.15184976825586555, -0.75206279954889, -0.7780227039763525, -0.264722199320407, -0.09219125474010795, -0.2301017543621699, 0.5001548868464863]",10666.666666666666,"[-0.4254547384710569, -0.4945968541163334, -0.13080174831988797, -0.3316006960989092, -0.9330292055672951, -0.1732159492831138, 0.10972989237441477, -0.10525615011025245, 0.6224468575932783]",9123.333333333332,"[-0.3979164291949613, -0.6263256924544662, -0.23450479097795882, -0.4268218009151661, -0.956123247973078, -0.43320679543792345, -0.10032834606145416, -0.3513827273753748, 0.6944523558234954]"
788.5000000000003,"[0.8450250504053993, -0.5308423276179598, -0.10444884855072856, -0.9805755117984836, -0.9887647839025765, -0.22969343820023194, -0.30993338650368996, -0.4557162890557725, 0.5018229002153258]",9900.0,"[-0.40249620311030887, -0.6671797467889289, -0.1040713563767623, -0.2694382370219451, -1.0997442709872947, -0.539210859716246, 0.1171728178240529, -0.140409361430785, 0.6983428575523807]",7783.333333333333,"[-0.3979164291949613, -0.6263256924544663, -0.23450479097795887, -0.4268218009151661, -0.9561232479730778, -0.43320679543792345, -0.10032834606145413, -0.3513827273753748, 0.6944523558234954]"
1857.333333333333,"[0.7952829948013198, -0.5332592915515761, -0.10989915346658677, -0.6994516536623846, -0.8318571057782055, -0.2537711299815437, -0.12030436059938446, -0.7796540106440356, 0.9179013159618218]",10916.666666666666,"[-0.5820810721584008, -0.628297595782115, -0.09871192997521097, -0.30784280491190036, -1.0391341922526296, -0.44162679256024046, 0.08890977792185291, -0.1363628137593652, 0.770506286469743]",9393.333333333332,"[-0.17372865596480377, -0.7066457137766351, -0.23408719533029076, -0.395580420780498, -1.0474415034123916, -0.3921987285955829, -0.10023797035201254, -0.4543045479330157, 0.7166647424382105]"
2996.8333333333326,"[0.6308824156960843, -0.4550847288590037, -0.09467726196344312, -0.5874311202629113, -0.945661448464541, -0.2065335408545055, 0.11281817007351837, -0.9951956703681348, 0.7559215847044902]",11283.333333333334,"[0.5501233868775208, -0.45474448395384504, -0.032619056589323896, -0.4054268211077717, -0.42503073375086964, -0.12941049261789878, 0.15512310177762675, -1.4142555391926974, 0.8136523639225275]",9643.333333333332,"[-0.05773980355989905, -0.5734431254929344, -0.09685007791131277, -0.4037683883200918, -0.8679764540217938, -0.3046852449244746, 0.12486272358748707, -0.6240552266765469, 0.7120709398371822]"
7832.500000000004,"[0.062175744421684664, -0.5601443932454726, -0.06775536508554508, -0.3410093893441708, -0.7645808468497628, -0.33546281778213055, 0.13234485421664693, -0.7906682337981369, 0.764834597333294]",12150.0,"[-0.4338669717557532, -0.4774408508773611, -0.020399484766741294, -0.3484163697956992, -0.4238198382827022, -0.13420736012550016, 0.186360220787797, -1.164123389387565, 0.9226443816880702]",11843.333333333334,"[-0.2551486568185564, -0.5629932307772699, -0.04718920321947288, -0.3421674449055798, -0.7764288741709268, -0.17371942307364793, 0.14703959693749877, -1.1759114351749302, 0.7081691886360005]"
8718.83333333333,"[-0.12904093062730307, -0.6156928078128758, -0.086098425819119, -0.32536761658488333, -1.0819927505722569, -0.4741239421493196, 0.12048055268630806, -0.7817820247568281, 0.5519814807518001]",13033.333333333334,"[-0.41868993590717246, -0.44622768082969694, -0.03269783062809053, -0.30991762048667615, -1.1301280111142618, -0.09659197401592805, 0.11639126904793572, -1.5607022011858265, 0.4204182469749485]",12426.666666666666,"[0.08669732755079905, -0.5015979624125182, -0.026956221325638276, -0.3286127688160139, -1.168391401829222, -0.10526519363310427, 0.10543748555673202, -1.6586747267538846, 0.4837659330656593]"
10547.0,"[-0.3994295949770024, -0.5766509204686052, -0.07102616592401173, -0.26964168529839816, -0.9951273882939917, -0.492900785232752, 0.09326562696349669, -0.7694566161847015, 0.5584555668413494]",13216.666666666666,"[-0.41868993590717246, -0.44622768082969694, -0.03269783062809053, -0.30991762048667615, -1.1301280111142618, -0.09659197401592805, 0.11639126904793572, -1.5607022011858265, 0.4204182469749485]",12696.666666666666,"[-0.4224876845561093, -0.6138713330480049, -0.01637955967887294, -0.2808956978305288, -0.9166194671667682, -0.4086710408772891, 0.08898825425185074, -1.5554858126618405, 0.36074077667670695]"
11219.66666666667,"[-0.42006250577027643, -0.4885762825811796, -0.013816153304869612, -0.3554043936601584, -1.1578177264453278, -0.49008613508824034, 0.08603737938312024, -1.3883758158481398, 0.406497701906196]",13616.666666666666,"[-0.47927265378668404, -0.4211322723874211, -0.013917454494442042, -0.31186291528814664, -1.3251526894854109, -0.3021729781049212, 0.09528505508987731, -1.6807559761395647, 0.2901350991821843]",12686.666666666666,"[-0.44990181223953607, -0.5273605424672115, -0.010608332047333862, -0.40209031262450096, -1.2097586132115898, -0.4498219672500647, 0.09457402903418635, -1.9121528285775757, 0.37651071705694916]"
